No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf,Prediksi,Benar
422,Bakwan Sayur Sehat,vegetarian,530,nasi merah,menu bakwan sayur healthy ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",bakwan sayur healthy lainnya nasi merah menu bakwan sayur healthy ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,bakwan sayur sehat,menu bakwan sayur healthy ala yellow fit kitchen rendah kalori dan bergizi,,bakwan sayur sehat protein_vegetarian,bakwan sayur sehat menu bakwan sayur healthy ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,bakwan sayur sehat menu bakwan sayur healthy ala yellow fit kitchen rendah kalori dan bergizi,vegetarian,True
21,Rolade Ayam,ayam,400,kentang nasi merah nasi putih,rolade ayam kukus disajikan dengan sayur sop,"['nasi', 'putih', 'kentang', 'merah']",rolade ayam ayam kentang nasi merah nasi putih rolade ayam kukus disajikan dengan sayur sop,"kentang, nasi merah, nasi putih",rolade ayam,rolade ayam kukus disajikan dengan sayur sop,protein_ayam,rolade ayam protein_ayam,rolade ayam rolade ayam kukus disajikan dengan sayur sop nasi putih kentang merah protein_ayam,rolade ayam rolade ayam kukus disajikan dengan sayur sop,ayam,True
3,Soto Ayam Spesial,ayam,400,kentang nasi merah nasi putih,soto ayam kuah bening tanpa santan lauk lengkap,"['nasi', 'putih', 'kentang', 'merah']",soto ayam spesial ayam kentang nasi merah nasi putih soto ayam kuah bening tanpa santan lauk lengkap,"kentang, nasi merah, nasi putih",soto ayam spesial,soto ayam kuah bening tanpa santan lauk lengkap,protein_ayam,soto ayam spesial protein_ayam,soto ayam spesial soto ayam kuah bening tanpa santan lauk lengkap nasi putih kentang merah protein_ayam,soto ayam spesial soto ayam kuah bening tanpa santan lauk lengkap,ayam,True
330,Sapi Short Ribs Rendang Spesial,sapi,522,nasi putih,menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'putih']",beef short ribs rendang special sapi nasi putih menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,nasi putih,sapi short ribs rendang spesial,menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,protein_sapi,sapi short ribs rendang spesial protein_sapi,sapi short ribs rendang spesial menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein_sapi,sapi short ribs rendang spesial menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,sapi,True
82,Bola Daging Saus Lada Hitam,sapi,395,jagung nasi merah nasi putih,bola daging sapi saus lada hitam disajikan salad,"['nasi', 'putih', 'jagung', 'merah']",bola daging saus lada hitam sapi jagung nasi merah nasi putih bola daging sapi saus lada hitam disajikan salad,"jagung, nasi merah, nasi putih",bola daging saus lada hitam,bola daging sapi saus lada hitam disajikan salad,protein_sapi blackpepper,bola daging saus lada hitam protein_sapi flavored,bola daging saus lada hitam bola daging sapi saus lada hitam disajikan salad nasi putih jagung merah protein_sapi blackpepper,bola daging saus lada hitam bola daging sapi saus lada hitam disajikan salad,sapi,True
408,Spageti Ayam Geprek Spesial,ayam,523,nasi merah,menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",spaghetti ayam geprek special ayam nasi merah menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,spageti ayam geprek spesial,menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,spageti ayam geprek spesial protein_ayam,spageti ayam geprek spesial menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam,spageti ayam geprek spesial menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
400,Ayam Asam Manis Sehat Khas,ayam,525,nasi putih,menu ayam asam manis healthy signature ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'putih']",ayam asam manis healthy signature ayam nasi putih menu ayam asam manis healthy signature ala yellow fit kitchen rendah kalori dan bergizi,nasi putih,ayam asam manis sehat khas,menu ayam asam manis healthy signature ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam manis,ayam asam manis sehat khas protein_ayam flavored,ayam asam manis sehat khas menu ayam asam manis healthy signature ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein_ayam manis,ayam asam manis sehat khas menu ayam asam manis healthy signature ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
109,Sapi Cabe Garam,sapi,400,kentang nasi merah nasi putih,daging sapi tumis cabe garam pedas gurih tumis sayur,"['nasi', 'putih', 'kentang', 'merah']",sapi cabe garam sapi kentang nasi merah nasi putih daging sapi tumis cabe garam pedas gurih tumis sayur,"kentang, nasi merah, nasi putih",sapi cabe garam,daging sapi tumis cabe garam pedas gurih tumis sayur,protein_sapi,sapi cabe garam protein_sapi,sapi cabe garam daging sapi tumis cabe garam pedas gurih tumis sayur nasi putih kentang merah protein_sapi,sapi cabe garam daging sapi tumis cabe garam pedas gurih tumis sayur,sapi,True
285,Sempol Ayam Panggang Mangkuk,ayam,434,kentang ubi nasi merah nasi putih,menu sempol ayam grill bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",sempol ayam grill bowl ayam kentang ubi nasi merah nasi putih menu sempol ayam grill bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",sempol ayam panggang mangkuk,menu sempol ayam grill bowl yang sehat dan lezat,protein_ayam panggang,sempol ayam panggang mangkuk protein_ayam cooked,sempol ayam panggang mangkuk menu sempol ayam grill bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ayam panggang,sempol ayam panggang mangkuk menu sempol ayam grill bowl yang sehat dan lezat,ayam,True
7,Ayam Serundeng,ayam,400,kentang nasi merah nasi putih,ayam bumbu serundeng tumis sayur protein nabati,"['nasi', 'putih', 'kentang', 'merah']",ayam serundeng ayam kentang nasi merah nasi putih ayam bumbu serundeng tumis sayur protein nabati,"kentang, nasi merah, nasi putih",ayam serundeng,ayam bumbu serundeng tumis sayur protein nabati,protein_ayam,ayam serundeng protein_ayam,ayam serundeng ayam bumbu serundeng tumis sayur protein nabati nasi putih kentang merah protein_ayam,ayam serundeng ayam bumbu serundeng tumis sayur protein nabati,ayam,True
346,Indonesian Sapi Bakso Khas,sapi,518,nasi merah,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",indonesian beef bakso signature sapi nasi merah menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,indonesian sapi bakso khas,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,protein_sapi,indonesian sapi bakso khas protein_sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,sapi,True
52,Buncis Sapi Lada Hitam,sapi,395,ubi jagung nasi merah nasi putih,tumis buncis dan sapi cincang saus lada hitam,"['nasi', 'merah', 'ubi', 'putih', 'jagung']",buncis sapi lada hitam sapi ubi jagung nasi merah nasi putih tumis buncis dan sapi cincang saus lada hitam,"ubi, jagung, nasi merah, nasi putih",buncis sapi lada hitam,tumis buncis dan sapi cincang saus lada hitam,protein_sapi blackpepper,buncis sapi lada hitam protein_sapi flavored,buncis sapi lada hitam tumis buncis dan sapi cincang saus lada hitam nasi merah ubi putih jagung protein_sapi blackpepper,buncis sapi lada hitam tumis buncis dan sapi cincang saus lada hitam,sapi,True
